key,mean,std,min,max,skew,kurt,trend_slope,max_drawdown,std_cm,skew_cm,kurt_cm,trend_slope_cm,max_drawdown_cm,date,stock_id
20210302-4944,77.55499999999999,3.6646395911922,72.87,83.58,0.29345536462041294,-1.2473792267469292,0.14575757575757675,-0.12814070351758786,高波動,分布接近對稱,分布平坦（較均勻）,略有上升,股價有明顯跌幅,20210302,4944
20210303-3219,116.90599999999999,10.986473703807068,102.03,134.45,0.4455345036743846,-1.21839174136027,-3.03369696969697,-0.2411305317962067,高波動,分布略偏右,分布平坦（較均勻）,明顯下降,股價有明顯跌幅,20210303,3219
20210303-6541,187.6,11.328595087947432,172.79,213.69,1.2702512615253307,0.9504732854172517,2.33939393939394,-0.06365740740740752,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210303,6541
20210303-8077,58.275,2.2956783069256215,55.25,61.75,0.5179041101455193,-1.1022227193512195,0.45606060606060606,-0.05555555555555555,中等波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價小幅回調,20210303,8077
20210304-3552,273.41700000000003,18.496947525950826,243.5,306.28,0.20389784991008372,-0.6633601881427182,5.416181818181819,-0.08897036815324744,高波動,分布接近對稱,接近常態,明顯上升,股價小幅回調,20210304,3552
20210305-4571,164.719,9.625287816764535,149.86,177.47,-0.19850977125523372,-1.3417605618862891,2.9572727272727266,-0.04778272384064906,高波動,分布接近對稱,分布平坦（較均勻）,明顯上升,股價一路上漲,20210305,4571
20210305-5468,21.075,1.6438251461487954,19.39,24.58,1.115600355170225,-0.029418549414360395,-0.31399999999999995,-0.211147274206672,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯下降,股價有明顯跌幅,20210305,5468
20210308-3066,14.694999999999999,1.4101713843832375,12.15,16.1,-0.7136216537791581,-1.0469619537832817,0.36212121212121223,-0.15625,中等波動,分布略偏左,分布平坦（較均勻）,明顯上升,股價有明顯跌幅,20210308,3066
20210310-4529,8.248000000000001,0.5000622183510992,7.2,8.88,-0.9665108801539848,-0.07681975935125607,0.06436363636363629,-0.12162162162162173,低波動,分布略偏左,接近常態,略有上升,股價有明顯跌幅,20210310,4529
20210311-3362,75.515,4.344637179583836,67.05,81.06,-0.7186047257934746,-0.5924802655775507,1.169636363636364,-0.056377991611152325,高波動,分布略偏左,接近常態,明顯上升,股價小幅回調,20210311,3362
20210312-8099,44.333,3.423812202793838,38.7,50.13,-0.041276986568835196,-0.806398502952963,0.9633333333333334,-0.082721023939322,高波動,分布接近對稱,接近常態,明顯上升,股價小幅回調,20210312,8099
20210316-3362,81.426,7.707712155151274,72.51,99.04,1.549614470542425,0.834231144128188,2.068484848484849,-0.056377991611152325,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210316,3362
20210316-6533,520.058,35.9545246109582,486.12,579.21,0.8220346717081819,-1.1712355203827471,9.823878787878789,-0.04175044352454171,高波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價一路上漲,20210316,6533
20210316-6594,46.018,2.5274616163697137,43.92,51.92,1.5658319155632034,0.8891893169839498,-0.30024242424242464,-0.15408320493066255,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯下降,股價有明顯跌幅,20210316,6594
