公布日期,證券代號,證券名稱,處置起始,處置結束,處置營業日數,撮合頻率(分鐘),開盤價,收盤價,short_return,公布日期_date,證券代號_str,broker_brought
2024-01-23,6187,萬潤,2024-01-24,2024-02-15,10,5,177.5,178.5,-0.0056,2024-01-23,6187,
2024-01-25,6535,順藥,2024-01-26,2024-02-19,10,20,138.0,136.0,0.0145,2024-01-25,6535,
2024-01-31,3360,尚立,2024-02-01,2024-02-27,12,5,20.65,22.35,-0.0823,2024-01-31,3360,
2024-01-31,6462,神盾,2024-02-01,2024-02-27,12,5,246.0,272.0,-0.1057,2024-01-31,6462,
2024-01-31,8080,印鉐,2024-02-01,2024-02-23,10,5,14.4,14.4,0.0,2024-01-31,8080,
2024-02-01,3294,英濟,2024-02-02,2024-02-26,10,5,31.7,31.7,0.0,2024-02-01,3294,
2024-02-01,6229,研通,2024-02-02,2024-02-29,12,5,43.6,43.2,0.0092,2024-02-01,6229,
2024-02-01,6465,威潤,2024-02-02,2024-02-26,10,5,30.0,28.65,0.045,2024-02-01,6465,
2024-02-02,1418,東華,2024-02-05,2024-02-27,10,5,30.25,30.1,0.005,2024-02-02,1418,
2024-02-02,5314,世紀,2024-02-05,2024-02-27,10,20,187.0,201.5,-0.0775,2024-02-02,5314,
2024-02-02,8227,巨有科技,2024-02-05,2024-03-01,12,20,413.0,406.0,0.0169,2024-02-02,8227,
2024-02-05,6643,M31,2024-02-15,2024-02-29,10,5,1795.0,1710.0,0.0474,2024-02-05,6643,
2024-02-05,8080,印鉐,2024-02-15,2024-02-29,10,20,19.05,19.05,0.0,2024-02-05,8080,
2024-02-15,3268,海德威,2024-02-16,2024-03-01,10,5,35.4,34.3,0.0311,2024-02-15,3268,
2024-02-15,3294,英濟,2024-02-16,2024-03-01,10,20,39.7,41.5,-0.0453,2024-02-15,3294,
2024-02-15,6584,南俊國際,2024-02-16,2024-03-01,10,5,145.0,159.5,-0.1,2024-02-15,6584,
2024-02-16,2465,麗臺,2024-02-19,2024-03-04,10,5,113.5,113.5,0.0,2024-02-16,2465,
2024-02-16,6805,富世達,2024-02-19,2024-03-04,10,5,733.0,722.0,0.015,2024-02-16,6805,
2024-02-16,8054,安國,2024-02-19,2024-03-04,10,20,187.0,200.5,-0.0722,2024-02-16,8054,
2024-02-19,2365,昆盈,2024-02-20,2024-03-07,12,5,25.0,24.45,0.022,2024-02-19,2365,
2024-02-20,3294,英濟,2024-02-21,2024-03-06,10,20,46.85,45.3,0.0331,2024-02-20,3294,
2024-02-20,4714,永捷,2024-02-21,2024-03-06,10,5,21.0,20.0,0.0476,2024-02-20,4714,
2024-02-20,6584,南俊國際,2024-02-21,2024-03-06,10,20,176.5,169.0,0.0425,2024-02-20,6584,
2024-02-20,6785,昱展新藥,2024-02-21,2024-03-06,10,5,388.86,439.58,-0.1304,2024-02-20,6785,
2024-02-20,8089,康全電訊,2024-02-21,2024-03-06,10,5,78.1,86.0,-0.1012,2024-02-20,8089,
2024-02-21,2465,麗臺,2024-02-22,2024-03-07,10,20,121.0,120.0,0.0083,2024-02-21,2465,
2024-02-21,6640,均華,2024-02-22,2024-03-07,10,5,240.5,234.0,0.027,2024-02-21,6640,
2024-02-22,3321,同泰,2024-02-23,2024-03-08,10,5,19.5,20.3,-0.041,2024-02-22,3321,
2024-02-22,3362,先進光,2024-02-23,2024-03-08,10,5,262.0,281.0,-0.0725,2024-02-22,3362,
2024-02-22,4945,陞達科技,2024-02-23,2024-03-08,10,5,118.0,124.0,-0.0508,2024-02-22,4945,
2024-02-22,5284,jpp-KY,2024-02-23,2024-03-08,10,5,178.0,189.0,-0.0618,2024-02-22,5284,
2024-02-22,5443,均豪,2024-02-23,2024-03-08,10,5,50.5,51.2,-0.0139,2024-02-22,5443,
2024-02-22,6187,萬潤,2024-02-23,2024-03-08,10,20,234.5,246.0,-0.049,2024-02-22,6187,
2024-02-22,6425,易發,2024-02-23,2024-03-08,10,20,68.6,68.7,-0.0015,2024-02-22,6425,
2024-02-23,1519,華城,2024-02-26,2024-03-11,10,5,528.0,560.0,-0.0606,2024-02-23,1519,
2024-02-23,1809,中釉,2024-02-26,2024-03-11,10,5,26.4,28.25,-0.0701,2024-02-23,1809,
2024-02-23,4714,永捷,2024-02-26,2024-03-11,10,20,22.0,23.0,-0.0455,2024-02-23,4714,
2024-02-23,6442,光聖,2024-02-26,2024-03-13,12,5,158.5,145.5,0.082,2024-02-23,6442,
2024-02-26,3313,斐成,2024-02-27,2024-03-12,10,5,21.1,22.35,-0.0592,2024-02-26,3313,
2024-02-26,4588,玖鼎電力,2024-02-27,2024-03-12,10,5,99.0,108.0,-0.0909,2024-02-26,4588,
2024-02-26,5381,合正,2024-02-27,2024-03-12,10,5,38.25,36.3,0.051,2024-02-26,5381,
2024-02-26,6640,均華,2024-02-27,2024-03-12,10,20,292.5,292.5,0.0,2024-02-26,6640,
2024-02-26,8147,正淩,2024-02-27,2024-03-12,10,5,127.5,134.0,-0.051,2024-02-26,8147,
2024-02-27,4131,浩泰,2024-02-29,2024-03-13,10,5,36.45,34.5,0.0535,2024-02-27,4131,
2024-02-29,1809,中釉,2024-03-01,2024-03-14,10,20,31.65,30.75,0.0284,2024-02-29,1809,
2024-02-29,8047,星雲,2024-03-01,2024-03-14,10,5,18.45,18.4,0.0027,2024-02-29,8047,
2024-02-29,8092,建暐,2024-03-01,2024-03-14,10,5,23.0,24.55,-0.0674,2024-02-29,8092,
2024-03-01,4303,信立,2024-03-04,2024-03-15,10,5,49.25,46.0,0.066,2024-03-01,4303,
2024-03-04,3363,上詮,2024-03-05,2024-03-20,12,5,121.0,122.49,-0.0123,2024-03-04,3363,
2024-03-05,1725,元禎,2024-03-06,2024-03-19,10,5,36.35,38.0,-0.0454,2024-03-05,1725,
2024-03-05,6227,茂綸,2024-03-06,2024-03-19,10,5,68.9,66.9,0.029,2024-03-05,6227,
2024-03-05,6535,順藥,2024-03-06,2024-03-19,10,20,186.0,188.0,-0.0108,2024-03-05,6535,
2024-03-05,6640,均華,2024-03-06,2024-03-19,10,20,354.0,336.5,0.0494,2024-03-05,6640,
2024-03-06,3372,典範,2024-03-07,2024-03-20,10,5,23.95,23.45,0.0209,2024-03-06,3372,
2024-03-06,4303,信立,2024-03-07,2024-03-20,10,20,58.6,61.1,-0.0427,2024-03-06,4303,
2024-03-06,5314,世紀,2024-03-07,2024-03-20,10,20,259.5,250.0,0.0366,2024-03-06,5314,
2024-03-06,8092,建暐,2024-03-07,2024-03-20,10,20,29.5,31.6,-0.0712,2024-03-06,8092,
2024-03-07,3376,新日興,2024-03-08,2024-03-25,12,5,220.5,220.0,0.0023,2024-03-07,3376,
2024-03-08,3013,晟銘電,2024-03-11,2024-03-26,12,5,65.1,61.9,0.0492,2024-03-08,3013,
2024-03-08,4943,康控-KY,2024-03-11,2024-03-22,10,45,26.3,26.3,0.0,2024-03-08,4943,
2024-03-08,8227,巨有科技,2024-03-11,2024-03-22,10,20,310.0,291.5,0.0597,2024-03-08,8227,
2024-03-11,2417,圓剛,2024-03-12,2024-03-25,10,5,52.4,51.5,0.0172,2024-03-11,2417,
2024-03-11,5310,天剛,2024-03-12,2024-03-25,10,5,37.1,35.2,0.0512,2024-03-11,5310,
2024-03-12,2404,漢唐,2024-03-13,2024-03-26,10,5,372.0,398.0,-0.0699,2024-03-12,2404,
2024-03-13,4909,新復興,2024-03-14,2024-03-27,10,5,82.2,81.0,0.0146,2024-03-13,4909,
2024-03-13,8227,巨有科技,2024-03-14,2024-03-27,10,20,300.0,270.0,0.1,2024-03-13,8227,
2024-03-14,4994,傳奇,2024-03-15,2024-03-28,10,5,120.5,124.0,-0.029,2024-03-14,4994,
2024-03-14,5386,青雲,2024-03-15,2024-03-28,10,5,91.0,87.7,0.0363,2024-03-14,5386,
2024-03-14,6643,M31,2024-03-15,2024-03-28,10,20,1455.0,1465.0,-0.0069,2024-03-14,6643,
2024-03-14,8040,九暘,2024-03-15,2024-03-28,10,5,87.9,87.5,0.0046,2024-03-14,8040,
2024-03-15,6187,萬潤,2024-03-18,2024-03-29,10,20,220.0,224.0,-0.0182,2024-03-15,6187,
2024-03-18,1519,華城,2024-03-19,2024-04-03,12,20,662.0,694.0,-0.0483,2024-03-18,1519,
2024-03-19,6230,尼得科超眾,2024-03-20,2024-04-02,10,5,221.5,206.5,0.0677,2024-03-19,6230,
2024-03-22,1503,士電,2024-03-25,2024-04-09,10,5,275.5,274.0,0.0054,2024-03-22,1503,
2024-03-22,4127,天良,2024-03-25,2024-04-09,10,5,23.95,24.65,-0.0292,2024-03-22,4127,
2024-03-25,5493,三聯,2024-03-26,2024-04-10,10,5,92.6,93.1,-0.0054,2024-03-25,5493,
2024-03-25,6640,均華,2024-03-26,2024-04-10,10,20,399.5,414.5,-0.0375,2024-03-25,6640,
2024-03-25,6753,龍德造船,2024-03-26,2024-04-10,10,5,109.5,120.0,-0.0959,2024-03-25,6753,
2024-03-26,2359,所羅門,2024-03-27,2024-04-11,10,5,69.9,69.7,0.0029,2024-03-26,2359,
2024-03-27,3228,金麗科,2024-03-28,2024-04-12,10,5,554.0,555.0,-0.0018,2024-03-27,3228,
