key,stock_id,T+n,date,close
20210108-3138,3138,6,2021-01-18,203.25
20210108-3138,3138,7,2021-01-19,205.1
20210108-3138,3138,8,2021-01-20,195.82
20210108-3138,3138,9,2021-01-21,215.31
20210108-3138,3138,10,2021-01-22,236.66
20210108-4946,4946,0,2021-01-08,99.1
20210108-4946,4946,-1,2021-01-07,92.8
20210108-4946,4946,-2,2021-01-06,84.7
20210108-4946,4946,-3,2021-01-05,77.0
20210108-4946,4946,-4,2021-01-04,79.8
20210108-4946,4946,-5,2020-12-31,72.6
20210108-4946,4946,-6,2020-12-30,66.0
20210108-4946,4946,-7,2020-12-29,60.0
20210108-4946,4946,-8,2020-12-28,60.6
20210108-4946,4946,-9,2020-12-25,58.3
20210108-4946,4946,-10,2020-12-24,58.2
20210108-4946,4946,-11,2020-12-23,57.1
20210108-4946,4946,-12,2020-12-22,57.3
20210108-4946,4946,-13,2020-12-21,59.4
20210108-4946,4946,-14,2020-12-18,61.4
20210108-4946,4946,-15,2020-12-17,62.8
20210108-4946,4946,-16,2020-12-16,65.6
20210108-4946,4946,-17,2020-12-15,64.0
20210108-4946,4946,-18,2020-12-14,61.6
20210108-4946,4946,-19,2020-12-11,61.9
20210108-4946,4946,-20,2020-12-10,62.7
20210108-4946,4946,1,2021-01-11,89.2
20210108-4946,4946,2,2021-01-12,82.1
20210108-4946,4946,3,2021-01-13,79.0
20210108-4946,4946,4,2021-01-14,82.0
20210108-4946,4946,5,2021-01-15,77.0
20210108-4946,4946,6,2021-01-18,81.9
20210108-4946,4946,7,2021-01-19,79.9
20210108-4946,4946,8,2021-01-20,78.1
20210108-4946,4946,9,2021-01-21,78.5
20210108-4946,4946,10,2021-01-22,79.0
20210108-4961,4961,0,2021-01-08,184.49
20210108-4961,4961,-1,2021-01-07,191.66
20210108-4961,4961,-2,2021-01-06,174.71
20210108-4961,4961,-3,2021-01-05,186.45
20210108-4961,4961,-4,2021-01-04,176.01
20210108-4961,4961,-5,2020-12-31,160.37
20210108-4961,4961,-6,2020-12-30,146.02
20210108-4961,4961,-7,2020-12-29,144.72
20210108-4961,4961,-8,2020-12-28,139.51
20210108-4961,4961,-9,2020-12-25,134.29
20210108-4961,4961,-10,2020-12-24,128.3
20210108-4961,4961,-11,2020-12-23,114.11
20210108-4961,4961,-12,2020-12-22,107.95
20210108-4961,4961,-13,2020-12-21,119.95
