公布日期,證券代號,證券名稱,處置起始,處置結束,處置營業日數,撮合頻率(分鐘),開盤價,收盤價,short_return,broker_bought,avg_vol_5T,max_vol_5T,vol_diff_5T,avg_vol_10T,max_vol_10T,vol_diff_10T,avg_vol_20T,max_vol_20T,vol_diff_20T
2022-02-25,2924,東凌-KY,2022-03-01,2022-03-14,10,5,31.7,31.7,0.0,3,63200.0,158000.0,0.6,38900.0,158000.0,0.7538,25100.0,158000.0,0.8411
2022-03-02,2497,怡利電,2022-03-03,2022-03-16,10,20,111.65,114.11,-0.022,23,4344621.4,5674216.0,0.2343,4580200.8,8023944.0,0.4292,11874554.55,38732929.0,0.6934
2022-03-03,1435,中福,2022-03-04,2022-03-17,10,20,64.1,63.6,0.0078,7,872008.8,1326876.0,0.3428,641421.5,1326876.0,0.5166,377464.7,1326876.0,0.7155
2022-03-03,2924,東凌-KY,2022-03-04,2022-03-17,10,20,42.1,42.1,0.0,1,68000.0,158000.0,0.5696,53800.0,158000.0,0.6595,31500.0,158000.0,0.8006
2022-03-07,2936,客思達-KY,2022-03-08,2022-03-21,10,5,38.65,38.65,0.0,0,361269.0,1444761.0,0.7499,216358.3,1444761.0,0.8502,117485.6,1444761.0,0.9187
2022-03-08,2024,志聯,2022-03-09,2022-03-22,10,5,29.53,24.57,0.168,28,10079782.2,17336157.0,0.4186,5149644.9,17336157.0,0.703,2605572.2,17336157.0,0.8497
2022-03-18,4804,大略-KY,2022-03-21,2022-04-01,10,5,13.1,12.65,0.0344,22,8613000.0,11576000.0,0.256,6091700.0,11576000.0,0.4738,3922450.0,11576000.0,0.6612
2022-03-23,1432,大魯閣,2022-03-24,2022-04-08,10,5,19.55,19.55,0.0,23,5150262.6,7252886.0,0.2899,2908396.8,7252886.0,0.599,1508343.9,7252886.0,0.792
2022-03-24,6446,藥華藥,2022-03-25,2022-04-11,10,10,299.99,308.84,-0.0295,19,430000.0,820000.0,0.4756,489700.0,820000.0,0.4028,761750.0,1878000.0,0.5944
2022-03-24,8440,綠電,2022-03-25,2022-04-13,12,20,75.25,79.17,-0.0521,27,33581400.0,79039000.0,0.5751,31842600.0,79039000.0,0.5971,19823550.0,79039000.0,0.7492
2022-03-25,5321,美而快,2022-03-28,2022-04-12,10,20,103.21,97.63,0.0541,23,4563600.0,9708000.0,0.5299,3046900.0,9708000.0,0.6861,1971150.0,9708000.0,0.797
2022-03-25,6240,松崗,2022-03-28,2022-04-12,10,5,25.55,24.6,0.0372,15,1063200.0,2299000.0,0.5375,587300.0,2299000.0,0.7445,300300.0,2299000.0,0.8694
2022-03-25,6241,易通展,2022-03-28,2022-04-12,10,5,38.9,37.9,0.0257,18,2844600.0,3804000.0,0.2522,1995000.0,3804000.0,0.4756,1700800.0,3804000.0,0.5529
2022-03-28,3011,今皓,2022-03-29,2022-04-13,10,5,16.85,18.2,-0.0801,26,9645683.4,13337921.0,0.2768,7569611.4,13337921.0,0.4325,4896715.6,13337921.0,0.6329
2022-03-30,5603,陸海,2022-03-31,2022-04-15,10,5,33.17,33.54,-0.0112,27,12281000.0,22783000.0,0.461,6499600.0,22783000.0,0.7147,5090000.0,22783000.0,0.7766
2022-04-11,1453,大將,2022-04-12,2022-04-25,10,5,13.67,14.09,-0.0307,19,6426866.4,10118133.0,0.3648,3641934.9,10118133.0,0.6401,1856353.3,10118133.0,0.8165
2022-04-12,4133,亞諾法,2022-04-13,2022-04-28,12,5,73.0,70.63,0.0325,28,38289207.4,72885507.0,0.4747,21631323.7,72885507.0,0.7032,11114967.0,72885507.0,0.8475
2022-04-13,4736,泰博,2022-04-14,2022-04-29,12,5,214.86,216.49,-0.0076,29,13978400.0,24519000.0,0.4299,9151400.0,24519000.0,0.6268,4786900.0,24519000.0,0.8048
2022-04-13,5309,系統電,2022-04-14,2022-04-27,10,5,44.1,42.87,0.0279,28,21797000.0,26997000.0,0.1926,17412100.0,40166000.0,0.5665,10824000.0,40166000.0,0.7305
2022-04-15,4133,亞諾法,2022-04-18,2022-05-04,12,20,72.81,76.59,-0.0519,27,24315962.6,72885507.0,0.6664,24709302.8,72885507.0,0.661,12896216.95,72885507.0,0.8231
2022-04-15,4148,全宇生技-KY,2022-04-18,2022-05-04,12,5,88.5,81.52,0.0789,28,9071031.0,19322878.0,0.5306,5651430.0,19322878.0,0.7075,3761926.1,19322878.0,0.8053
2022-04-15,8409,商之器,2022-04-18,2022-04-29,10,5,27.35,27.35,0.0,10,741200.0,1022000.0,0.2748,380000.0,1022000.0,0.6282,196700.0,1022000.0,0.8075
2022-04-18,4736,泰博,2022-04-19,2022-05-03,10,20,241.0,241.41,-0.0017,26,11647000.0,24519000.0,0.525,10434200.0,24519000.0,0.5744,5674100.0,24519000.0,0.7686
2022-04-18,6242,立康,2022-04-19,2022-05-03,10,5,48.16,48.16,0.0,6,208000.0,287000.0,0.2753,111200.0,287000.0,0.6125,61600.0,287000.0,0.7854
2022-04-18,6598,ABC-KY,2022-04-19,2022-05-03,10,5,57.2,56.8,0.007,28,18297415.8,44223273.0,0.5862,11029593.0,44223273.0,0.7506,5772725.55,44223273.0,0.8695
2022-04-19,6578,達邦蛋白,2022-04-20,2022-05-04,10,5,27.43,24.59,0.1035,25,8135400.0,13130000.0,0.3804,4893400.0,13130000.0,0.6273,2464500.0,13130000.0,0.8123
2022-04-20,1760,寶齡富錦,2022-04-21,2022-05-09,12,5,155.42,157.36,-0.0125,26,50564649.4,95024990.0,0.4679,34885332.8,95024990.0,0.6329,19770227.0,95024990.0,0.7919
2022-04-20,3434,哲固,2022-04-21,2022-05-05,10,5,26.89,28.66,-0.0658,21,3055200.0,4664000.0,0.3449,1946300.0,4664000.0,0.5827,1463350.0,4664000.0,0.6862
2022-04-20,6492,生華科,2022-04-21,2022-05-05,10,5,108.0,110.0,-0.0185,25,3226800.0,6199000.0,0.4795,2065800.0,6199000.0,0.6668,1179350.0,6199000.0,0.8098
