combination,remark,count,mean_avg_monthly_return
201903-201912,winner,14,0.020792987994296328
201903-201912,winner - loser,-,0.012272512972241094
201904-202001,loser,14,0.012178160453942377
201904-202001,winner,14,0.013749074913664188
201904-202001,winner - loser,-,0.0015709144597218106
201905-202002,loser,14,0.008092745278224551
201905-202002,winner,14,0.018865990346444674
201905-202002,winner - loser,-,0.010773245068220123
201906-202003,loser,14,0.016016223812005823
201906-202003,winner,14,0.03130118875904337
201906-202003,winner - loser,-,0.015284964947037547
201907-202004,loser,14,0.05962650157554937
201907-202004,winner,14,0.041311966847105745
201907-202004,winner - loser,-,-0.018314534728443625
201908-202005,loser,14,0.06396088506149249
201908-202005,winner,14,0.03961774795028478
201908-202005,winner - loser,-,-0.024343137111207704
201909-202006,loser,14,0.045656893666595325
201909-202006,winner,14,0.03422247301646982
201909-202006,winner - loser,-,-0.011434420650125503
201910-202007,loser,14,0.05707149696703779
201910-202007,winner,13,0.038829843052622055
201910-202007,winner - loser,-,-0.018241653914415734
201911-202008,loser,14,0.025971397350871887
201911-202008,winner,13,0.04376461465399342
201911-202008,winner - loser,-,0.017793217303121535
201912-202009,loser,14,0.02319220138252923
201912-202009,winner,14,0.04092640837191149
201912-202009,winner - loser,-,0.017734206989382263
202001-202010,loser,14,0.023405911050119743
202001-202010,winner,14,0.03482825047091872
202001-202010,winner - loser,-,0.011422339420798976
202002-202011,loser,14,0.012258056042260348
202002-202011,winner,14,0.05688818545715356
202002-202011,winner - loser,-,0.04463012941489321
202003-202012,loser,14,0.011350771099394965
202003-202012,winner,14,0.05157412520739472
202003-202012,winner - loser,-,0.04022335410799975
202004-202101,loser,14,0.009556615836124485
202004-202101,winner,14,0.043982667809559804
202004-202101,winner - loser,-,0.03442605197343532
202005-202102,loser,14,0.009518226814307211
202005-202102,winner,14,0.033182597794034305
202005-202102,winner - loser,-,0.023664370979727095
202006-202103,loser,14,-0.00030534453235367013
202006-202103,winner,14,0.027619072161610785
202006-202103,winner - loser,-,0.027924416693964456
202007-202104,loser,14,0.0063232289272366505
202007-202104,winner,14,0.011510112346489434
202007-202104,winner - loser,-,0.005186883419252783
202008-202105,loser,14,-0.00018884984660617294
202008-202105,winner,14,-0.002002270894094192
202008-202105,winner - loser,-,-0.001813421047488019
202009-202106,loser,14,-0.0006284725498415364
202009-202106,winner,14,-0.0068352020582907935
202009-202106,winner - loser,-,-0.006206729508449257
202010-202107,loser,14,-0.007343822676195234
202010-202107,winner,14,-0.0293556095698185
202010-202107,winner - loser,-,-0.022011786893623264
202011-202108,loser,14,-0.00042245712423490323
202011-202108,winner,14,-0.03529900076936244
202011-202108,winner - loser,-,-0.03487654364512754
202012-202109,loser,14,-0.0036362250941038288
202012-202109,winner,14,-0.02985719176445874
202012-202109,winner - loser,-,-0.026220966670354912
202101-202110,loser,14,-0.013285719364187107
202101-202110,winner,14,-0.047559610699951925
202101-202110,winner - loser,-,-0.03427389133576482
202102-202111,loser,14,-0.02912135070580618
202102-202111,winner,14,-0.033379296457573586
202102-202111,winner - loser,-,-0.004257945751767404
