industry_category,stock_id,stock_name,type,date
電腦及週邊設備業,2341,英群,twse,2024-12-04
電子工業,2342,茂矽,twse,2025-07-16
電子工業,2344,華邦電,twse,2025-07-16
電子工業,2345,智邦,twse,2025-07-16
電子通路業,2347,聯強,twse,2025-07-16
其他,2348,海悅,twse,2025-07-16
其他,2348A,海悅甲特,twse,2025-07-16
光電業,2349,錸德,twse,2025-07-16
其他電子業,2350,環電,twse,2024-12-04
電子工業,2351,順德,twse,2025-07-16
電腦及週邊設備業,2352,佳世達,twse,2025-07-16
電腦及週邊設備業,2353,宏碁,twse,2025-07-16
電子工業,2354,鴻準,twse,2025-07-16
電子零組件業,2355,敬鵬,twse,2025-07-16
電腦及週邊設備業,2356,英業達,twse,2025-07-16
電子工業,2357,華碩,twse,2025-07-16
其他,2358,廷鑫,twse,2024-12-04
其他電子業,2359,所羅門,twse,2025-07-16
其他電子業,2360,致茂,twse,2025-07-16
電腦及週邊設備業,2361,鴻友,twse,2024-12-04
電腦及週邊設備業,2362,藍天,twse,2025-07-16
電子工業,2363,矽統,twse,2025-07-16
電腦及週邊設備業,2364,倫飛,twse,2025-07-16
電腦及週邊設備業,2365,昆盈,twse,2025-07-16
電子工業,2367,燿華,twse,2025-07-16
電子工業,2368,金像電,twse,2025-07-16
半導體業,2369,菱生,twse,2025-07-16
電機機械,2371,大同,twse,2025-07-16
其他電子業,2373,震旦行,twse,2025-07-16
電子工業,2374,佳能,twse,2025-07-16
電子零組件業,2375,凱美,twse,2025-07-16
電腦及週邊設備業,2376,技嘉,twse,2025-07-16
電腦及週邊設備業,2377,微星,twse,2025-07-16
電子工業,2379,瑞昱,twse,2025-07-16
電腦及週邊設備業,2380,虹光,twse,2025-07-16
電子工業,2381,華宇,twse,2024-12-04
電腦及週邊設備業,2382,廣達,twse,2025-07-16
電子零組件業,2383,台光電,twse,2025-07-16
光電業,2384,勝華,twse,2024-12-04
電子零組件業,2385,群光,twse,2025-07-16
電子工業,2387,精元,twse,2025-07-16
半導體業,2388,威盛,twse,2025-07-16
電子工業,2390,云辰,twse,2025-07-16
通信網路業,2391,合勤,twse,2024-12-04
電子零組件業,2392,正崴,twse,2025-07-16
光電業,2393,億光,twse,2025-07-16
電腦及週邊設備業,2395,研華,twse,2025-07-16
光電業,2396,精碟,twse,2024-12-04
電腦及週邊設備業,2397,友通,twse,2025-07-16
電腦及週邊設備業,2399,映泰,twse,2025-07-16
電子工業,2401,凌陽,twse,2025-07-16
電子零組件業,2402,毅嘉,twse,2025-07-16
電子通路業,2403,友尚,twse,2024-12-04
電子工業,2404,漢唐,twse,2025-07-16
電腦及週邊設備業,2405,輔信,twse,2025-07-16
電子工業,2406,國碩,twse,2025-07-16
電子工業,2408,南亞科,twse,2025-07-16
電子工業,2409,友達,twse,2025-07-16
其他電子業,2411,飛瑞,twse,2024-12-04
通信網路業,2412,中華電,twse,2025-07-16
電子零組件業,2413,環科,twse,2025-07-16
電子通路業,2414,精技,twse,2025-07-16
電子零組件業,2415,錩新,twse,2025-07-16
電腦及週邊設備業,2417,圓剛,twse,2025-07-16
電子工業,2418,雅新,twse,2024-12-04
通信網路業,2419,仲琦,twse,2025-07-16
電子零組件業,2420,新巨,twse,2025-07-16
電子零組件業,2421,建準,twse,2025-07-16
電子工業,2423,固緯,twse,2025-07-16
電子工業,2424,隴華,twse,2025-07-16
電腦及週邊設備業,2425,承啟,twse,2025-07-16
光電業,2426,鼎元,twse,2025-07-16
資訊服務業,2427,三商電,twse,2025-07-16
電子零組件業,2428,興勤,twse,2025-07-16
電子工業,2429,銘旺科,twse,2025-07-16
電子通路業,2430,燦坤,twse,2025-07-16
電子零組件業,2431,聯昌,twse,2025-07-16
電腦及週邊設備業,2432,倚天酷碁-創,twse,2025-07-16
其他電子業,2433,互盛電,twse,2025-07-16
電子工業,2434,統懋,twse,2025-07-16
電子工業,2436,偉詮電,twse,2025-07-16
電子工業,2437,旺詮,twse,2025-05-14
電子工業,2438,翔耀,twse,2025-07-16
電子工業,2439,美律,twse,2025-07-16
電子零組件業,2440,太空梭,twse,2025-07-16
電子工業,2441,超豐,twse,2025-07-16
建材營造,2442,新美齊,twse,2025-07-16
其他,2443,昶虹,twse,2024-12-04
電子工業,2444,兆勁,twse,2025-07-16
電子工業,2446,全懋,twse,2024-12-04
電子工業,2447,鼎新,twse,2024-12-04
電子工業,2448,晶電,twse,2025-05-14
半導體業,2449,京元電子,twse,2025-07-16
通信網路業,2450,神腦,twse,2025-07-16
半導體業,2451,創見,twse,2025-07-16
電子零組件業,2452,乾坤,twse,2024-12-04
資訊服務業,2453,凌群,twse,2025-07-16
電子工業,2454,聯發科,twse,2025-07-16
電子工業,2455,全新,twse,2025-07-16
電子工業,2456,奇力新,twse,2025-05-14
電子零組件業,2457,飛宏,twse,2025-07-16
電子工業,2458,義隆,twse,2025-07-16
電子工業,2459,敦吉,twse,2025-07-16
電子零組件業,2460,建通,twse,2025-07-16
電子工業,2461,光群雷,twse,2025-07-16
電子零組件業,2462,良得電,twse,2025-07-16
電腦及週邊設備業,2463,研揚,twse,2024-12-04
電子工業,2464,盟立,twse,2025-07-16
電腦及週邊設備業,2465,麗臺,twse,2025-07-16
電子工業,2466,冠西電,twse,2025-07-16
電子零組件業,2467,志聖,twse,2025-07-16
資訊服務業,2468,華經,twse,2025-07-16
電子零組件業,2469,力信,twse,2024-12-04
資訊服務業,2471,資通,twse,2025-07-16
電子工業,2472,立隆電,twse,2025-07-16
電子工業,2473,思源,twse,2024-12-04
電子工業,2474,可成,twse,2025-07-16
電子工業,2475,華映,twse,2025-05-14
電子零組件業,2476,鉅祥,twse,2025-07-16
電子工業,2477,美隆電,twse,2025-07-16
電子零組件業,2478,大毅,twse,2025-07-16
電子工業,2479,和立,twse,2024-12-04
電子工業,2480,敦陽科,twse,2025-07-16
電子工業,2481,強茂,twse,2025-07-16
電子工業,2482,連宇,twse,2025-07-16
電子工業,2483,百容,twse,2025-07-16
電子工業,2484,希華,twse,2025-07-16
電子工業,2485,兆赫,twse,2025-07-16
電子工業,2486,一詮,twse,2025-07-16
電子工業,2488,漢平,twse,2025-07-16
電子工業,2489,瑞軒,twse,2025-07-16
電子工業,2491,吉祥全,twse,2025-07-16
電子零組件業,2492,華新科,twse,2025-07-16
電子零組件業,2493,揚博,twse,2025-07-16
通信網路業,2494,廣業科,twse,2024-12-04
電腦及週邊設備業,2495,普安,twse,2025-07-16
其他,2496,卓越,twse,2025-07-16
汽車工業,2497,怡利電,twse,2025-07-16
電子工業,2498,宏達電,twse,2025-07-16
電子工業,2499,東貝,twse,2025-05-14
建材營造,2501,國建,twse,2025-07-16
建材營造,2504,國產,twse,2025-07-16
建材營造,2505,國揚,twse,2025-07-16
建材營造,2506,太設,twse,2025-07-16
建材營造,2509,全坤建,twse,2025-07-16
建材營造,2511,太子,twse,2025-07-16
其他,2514,龍邦,twse,2025-07-16
建材營造,2515,中工,twse,2025-07-16
建材營造,2516,新建,twse,2025-07-16
建材營造,2520,冠德,twse,2025-07-16
建材營造,2524,京城,twse,2025-07-16
建材營造,2526,大陸,twse,2024-12-04
建材營造,2527,宏璟,twse,2025-07-16
建材營造,2528,皇普,twse,2025-07-16
建材營造,2530,華建,twse,2025-07-16
建材營造,2534,宏盛,twse,2025-07-16
建材營造,2535,達欣工,twse,2025-07-16
建材營造,2536,宏普,twse,2025-07-16
建材營造,2537,聯上發,twse,2025-07-16
建材營造,2538,基泰,twse,2025-07-16
建材營造,2539,櫻花建,twse,2025-07-16
建材營造,2540,愛山林,twse,2025-07-16
建材營造,2542,興富發,twse,2025-07-16
建材營造,2543,皇昌,twse,2025-07-16
建材營造,2545,皇翔,twse,2025-07-16
建材營造,2546,根基,twse,2025-07-16
建材營造,2547,日勝生,twse,2025-07-16
建材營造,2548,華固,twse,2025-07-16
建材營造,2596,綠意,tpex,2025-07-16
建材營造,2597,潤弘,twse,2025-07-16
貿易百貨,2601,益航,twse,2025-07-16
航運業,2603,長榮,twse,2025-07-16
航運業,2605,新興,twse,2025-07-16
航運業,2606,裕民,twse,2025-07-16
航運業,2607,榮運,twse,2025-07-16
