stock_id,year_month,mean_market_value,rank
1717,2010-01,29730174177.996,112.0
1718,2010-01,15306991842.684,205.0
1720,2010-01,4589176514.888,484.0
1721,2010-01,1060417994.604,737.0
1722,2010-01,99464512000.0,43.0
1723,2010-01,23573038139.712,129.0
1724,2010-01,1661299509.42,685.0
1725,2010-01,3321288766.268,562.0
1726,2010-01,7217877600.0,375.0
1727,2010-01,1949511320.0,662.0
1729,2010-01,9515755375.136,308.0
1730,2010-01,938829815.532,747.0
1731,2010-01,2159424240.704,638.0
1732,2010-01,670470211.18,755.0
1733,2010-01,6299838598.184,399.0
1734,2010-01,4103584073.92,509.0
1735,2010-01,1585261641.6,689.0
1736,2010-01,8706090017.4,331.0
1737,2010-01,5975493627.6,417.0
1752,2010-01,1924449103.332,664.0
1762,2010-12,4690828800.0,478.0
1773,2010-01,5419192200.0,435.0
1795,2010-01,1978727811.1173913,659.0
1802,2010-01,64927120581.768,62.0
1805,2010-01,571102832.5688074,761.0
1806,2010-01,9112320892.38,320.0
1808,2010-01,3034496747.52,578.0
1809,2010-01,4383284698.672,494.0
1810,2010-01,4245020363.036,502.0
1902,2010-01,4611753181.8,483.0
1903,2010-01,18298640897.916,171.0
1904,2010-01,13118830490.232,233.0
1905,2010-01,9132076436.372,319.0
1906,2010-01,1233905560.0,728.0
1907,2010-01,21379875486.164,144.0
1909,2010-01,7531723728.592,365.0
2002,2010-01,424072091662.704,11.0
2002A,2010-01,1849624379.4520547,672.0
2006,2010-01,29930643943.668,111.0
2007,2010-01,4857253991.132,473.0
2008,2010-01,3554328572.576,547.0
2009,2010-01,5053194889.46,461.0
2010,2010-01,8165181502.628,352.0
2012,2010-01,2833583957.44,593.0
2013,2010-01,4013567540.724,513.0
2014,2010-01,23969146100.183334,125.0
2015,2010-01,29583985260.844,113.0
2017,2010-01,3548069127.116,548.0
2020,2010-01,5703946072.32,425.0
2022,2010-01,3608466916.7257385,544.0
2023,2010-01,17454513731.284,179.0
2024,2010-01,752960778.0,753.0
2025,2010-01,2065208158.128,650.0
2027,2010-01,12027505327.492,258.0
2028,2010-01,2366725600.0,623.0
2029,2010-01,7136426892.0,377.0
2030,2010-01,4403004533.104,492.0
2031,2010-01,8184747505.04,351.0
2032,2010-01,2494935412.044,613.0
2033,2010-01,1474418283.98,708.0
2034,2010-01,8814216227.4,327.0
2038,2010-01,3012775200.0,581.0
2049,2010-01,17443962061.9,180.0
2059,2010-01,14669594404.792,216.0
2062,2010-01,6166469016.0,410.0
2101,2010-01,29968261099.504,110.0
2102,2010-01,7298784862.928,372.0
2103,2010-01,30950638642.22,106.0
2104,2010-01,17110088388.024,184.0
2105,2010-01,121678601946.3,34.0
2106,2010-01,18977448480.0,165.0
2107,2010-01,13106849429.392,234.0
2108,2010-01,6915212671.004,384.0
2109,2010-01,3954530538.96,518.0
2114,2010-12,2080746901.75,647.0
2201,2010-01,68537342545.728,60.0
2204,2010-01,31245556318.984,105.0
2206,2010-01,12221336729.7,254.0
2207,2010-01,44360454852.816,78.0
2208,2010-01,18945793709.508,167.0
2227,2010-01,30204600000.0,108.0
2231,2010-11,5568000000.0,429.0
2301,2010-01,90944678556.32,47.0
2302,2010-01,1193335155.5,732.0
2303,2010-01,197568566768.644,20.0
2305,2010-01,1033544372.856,739.0
2308,2010-01,265638997232.672,15.0
2311,2010-01,156837264056.556,26.0
2312,2010-01,14233639384.652,221.0
2313,2010-01,11911293330.572,261.0
2314,2010-01,7732251445.72,359.0
2315,2010-01,21126899978.496,146.0
2316,2010-01,6009682044.56,414.0
2317,2010-01,1123951017883.088,2.0
2321,2010-01,3081416270.48,577.0
2323,2010-01,23587757254.304,127.0
2324,2010-01,171007230008.844,25.0
2325,2010-01,111206100700.832,37.0
2327,2010-01,29014008752.632,115.0
2328,2010-01,24271529032.68,122.0
2329,2010-01,5290372333.096,444.0
2330,2010-01,1606496376017.424,1.0
2331,2010-01,15005850552.464,210.0
2332,2010-01,19277816908.936,159.0
2337,2010-01,64239543958.392,64.0
2338,2010-01,3957076397.9832635,517.0
2340,2010-01,12840044823.672,239.0
2341,2010-01,388085170.1494845,774.0
2342,2010-01,9364109171.928,313.0
2344,2010-01,30440192871.856,107.0
2345,2010-01,8630729828.636,335.0
2347,2010-01,99441628286.728,44.0
2348,2010-01,339447231.04329,775.0
2349,2010-01,22412705200.504,136.0
2350,2010-01,21973908949.137615,139.0
2351,2010-01,7346461847.752,370.0
2352,2010-01,35686294521.332,98.0
2353,2010-01,232604362201.908,17.0
