stock_id,start_date,end_date,SD_close,ED_close,combination,return_rank
6505,2010-01-04,2010-03-31,50.23,51.02,201001-201004,
6605,2010-01-04,2010-03-31,49.76,45.6,201001-201004,
8008,2010-01-04,2010-03-31,25.88,27.79,201001-201004,
8016,2010-01-04,2010-03-31,23.69,21.65,201001-201004,
8046,2010-01-04,2010-03-31,82.52,84.53,201001-201004,
8078,2010-01-04,2010-03-31,40.14,29.89,201001-201004,
8131,2010-01-04,2010-03-31,19.14,22.92,201001-201004,
8163,2010-01-04,2010-03-31,21.33,20.1,201001-201004,
8201,2010-01-04,2010-03-31,30.14,27.25,201001-201004,
8926,2010-01-04,2010-03-31,6.51,6.44,201001-201004,
9904,2010-01-04,2010-03-31,13.22,13.55,201001-201004,
9907,2010-01-04,2010-03-31,7.23,7.17,201001-201004,
9910,2010-01-04,2010-03-31,9.54,9.84,201001-201004,
9914,2010-01-04,2010-03-31,27.57,25.66,201001-201004,
9917,2010-01-04,2010-03-31,25.57,23.7,201001-201004,
9921,2010-01-04,2010-03-31,56.38,57.63,201001-201004,
9925,2010-01-04,2010-03-31,10.87,11.08,201001-201004,
9930,2010-01-04,2010-03-31,17.9,17.48,201001-201004,
9933,2010-01-04,2010-03-31,15.06,15.27,201001-201004,
9938,2010-01-04,2010-03-31,14.47,14.09,201001-201004,
9939,2010-01-04,2010-03-31,25.57,28.6,201001-201004,
9940,2010-01-04,2010-03-31,12.5,12.16,201001-201004,
9941,2010-01-04,2010-03-31,10.48,10.33,201001-201004,
9945,2010-01-04,2010-03-31,14.61,15.24,201001-201004,
9958,2010-01-04,2010-03-31,8.32,7.96,201001-201004,
1101,2010-02-01,2010-04-30,10.48,10.05,201002-201005,
1102,2010-02-01,2010-04-30,12.12,11.88,201002-201005,
1104,2010-02-01,2010-04-30,6.6,6.35,201002-201005,
1201,2010-02-01,2010-04-30,27.02,29.25,201002-201005,
1210,2010-02-01,2010-04-30,9.88,9.58,201002-201005,
1215,2010-02-01,2010-04-30,5.69,5.85,201002-201005,
1216,2010-02-01,2010-04-30,14.65,15.02,201002-201005,
1227,2010-02-01,2010-04-30,9.1,15.52,201002-201005,
1229,2010-02-01,2010-04-30,3.73,4.51,201002-201005,
1232,2010-02-01,2010-04-30,16.12,18.15,201002-201005,
1234,2010-02-01,2010-04-30,12.21,17.1,201002-201005,
1301,2010-02-01,2010-04-30,33.63,34.98,201002-201005,
1303,2010-02-01,2010-04-30,30.38,34.09,201002-201005,
1304,2010-02-01,2010-04-30,7.72,9.25,201002-201005,
1307,2010-02-01,2010-04-30,14.1,15.75,201002-201005,
1308,2010-02-01,2010-04-30,7.65,8.01,201002-201005,
1312,2010-02-01,2010-04-30,9.31,8.75,201002-201005,
1313,2010-02-01,2010-04-30,7.47,9.16,201002-201005,
1314,2010-02-01,2010-04-30,6.51,8.84,201002-201005,
1319,2010-02-01,2010-04-30,25.89,30.03,201002-201005,
1326,2010-02-01,2010-04-30,34.7,40.57,201002-201005,
1402,2010-02-01,2010-04-30,15.62,15.76,201002-201005,
1409,2010-02-01,2010-04-30,5.14,6.6,201002-201005,
1434,2010-02-01,2010-04-30,11.74,12.9,201002-201005,
1440,2010-02-01,2010-04-30,7.31,8.72,201002-201005,
1476,2010-02-01,2010-04-30,9.73,9.95,201002-201005,
1477,2010-02-01,2010-04-30,22.43,27.53,201002-201005,
1503,2010-02-01,2010-04-30,24.43,24.33,201002-201005,
1504,2010-02-01,2010-04-30,6.89,7.66,201002-201005,
1507,2010-02-01,2010-04-30,14.08,17.57,201002-201005,
1532,2010-02-01,2010-04-30,14.19,14.83,201002-201005,
1536,2010-02-01,2010-04-30,9.51,10.81,201002-201005,
1605,2010-02-01,2010-04-30,6.9,8.81,201002-201005,
1702,2010-02-01,2010-04-30,13.74,24.48,201002-201005,
1704,2010-02-01,2010-04-30,24.27,25.76,201002-201005,
1707,2010-02-01,2010-04-30,22.02,24.06,201002-201005,
1710,2010-02-01,2010-04-30,13.03,14.52,201002-201005,
1714,2010-02-01,2010-04-30,7.88,8.14,201002-201005,
1717,2010-02-01,2010-04-30,12.72,13.86,201002-201005,
1718,2010-02-01,2010-04-30,5.69,6.81,201002-201005,
1722,2010-02-01,2010-04-30,55.65,55.38,201002-201005,
1723,2010-02-01,2010-04-30,42.55,49.13,201002-201005,
1736,2010-02-01,2010-04-30,19.53,24.44,201002-201005,
1795,2010-02-01,2010-04-30,21.19,32.4,201002-201005,
1802,2010-02-01,2010-04-30,19.18,20.32,201002-201005,
1808,2010-02-01,2010-04-30,1.94,2.47,201002-201005,
1903,2010-02-01,2010-04-30,70.1,71.0,201002-201005,
1904,2010-02-01,2010-04-30,5.92,6.09,201002-201005,
1907,2010-02-01,2010-04-30,6.58,6.9,201002-201005,
1909,2010-02-01,2010-04-30,5.26,5.64,201002-201005,
2002,2010-02-01,2010-04-30,16.73,17.57,201002-201005,
2006,2010-02-01,2010-04-30,25.19,23.46,201002-201005,
2014,2010-02-01,2010-04-30,12.11,12.95,201002-201005,
2015,2010-02-01,2010-04-30,21.26,21.3,201002-201005,
2023,2010-02-01,2010-04-30,6.68,6.98,201002-201005,
2027,2010-02-01,2010-04-30,6.54,6.68,201002-201005,
2032,2010-02-01,2010-04-30,14.64,15.08,201002-201005,
2049,2010-02-01,2010-04-30,23.42,42.09,201002-201005,
2059,2010-02-01,2010-04-30,116.76,123.47,201002-201005,
2101,2010-02-01,2010-04-30,27.49,28.12,201002-201005,
2103,2010-02-01,2010-04-30,15.38,18.22,201002-201005,
2104,2010-02-01,2010-04-30,12.28,13.38,201002-201005,
2105,2010-02-01,2010-04-30,20.85,23.18,201002-201005,
2106,2010-02-01,2010-04-30,11.32,11.61,201002-201005,
2107,2010-02-01,2010-04-30,12.7,12.55,201002-201005,
2108,2010-02-01,2010-04-30,6.79,7.22,201002-201005,
2201,2010-02-01,2010-04-30,38.88,45.16,201002-201005,
2204,2010-02-01,2010-04-30,20.2,24.86,201002-201005,
2206,2010-02-01,2010-04-30,7.73,8.44,201002-201005,
2207,2010-02-01,2010-04-30,43.08,54.79,201002-201005,
2208,2010-02-01,2010-04-30,45.08,44.28,201002-201005,
2227,2010-02-01,2010-04-30,26.35,40.85,201002-201005,
2231,2010-02-01,2010-04-30,15.01,19.74,201002-201005,
2301,2010-02-01,2010-04-30,15.2,15.74,201002-201005,
2303,2010-02-01,2010-04-30,7.32,7.56,201002-201005,
2308,2010-02-01,2010-04-30,56.86,62.55,201002-201005,
2311,2010-02-01,2010-04-30,13.21,16.84,201002-201005,
2312,2010-02-01,2010-04-30,7.39,7.42,201002-201005,
2313,2010-02-01,2010-04-30,5.44,5.65,201002-201005,
2315,2010-02-01,2010-04-30,13.67,13.81,201002-201005,
2317,2010-02-01,2010-04-30,59.72,67.44,201002-201005,
2323,2010-02-01,2010-04-30,8.29,8.81,201002-201005,
2324,2010-02-01,2010-04-30,17.65,17.22,201002-201005,
2325,2010-02-01,2010-04-30,26.07,24.98,201002-201005,
2327,2010-02-01,2010-04-30,26.73,35.24,201002-201005,
2328,2010-02-01,2010-04-30,31.75,34.03,201002-201005,
2330,2010-02-01,2010-04-30,37.07,38.31,201002-201005,
2331,2010-02-01,2010-04-30,9.5,9.25,201002-201005,
2332,2010-02-01,2010-04-30,21.33,20.17,201002-201005,
2337,2010-02-01,2010-04-30,24.4,29.37,201002-201005,
2340,2010-02-01,2010-04-30,18.32,17.79,201002-201005,
2344,2010-02-01,2010-04-30,5.87,6.87,201002-201005,
2345,2010-02-01,2010-04-30,6.88,7.83,201002-201005,
2347,2010-02-01,2010-04-30,24.5,28.34,201002-201005,
2349,2010-02-01,2010-04-30,30.47,32.01,201002-201005,
2350,2010-02-01,2010-04-30,20.75,20.6,201002-201005,
2352,2010-02-01,2010-04-30,9.66,10.89,201002-201005,
2353,2010-02-01,2010-04-30,49.53,48.14,201002-201005,
2354,2010-02-01,2010-04-30,57.53,61.52,201002-201005,
2355,2010-02-01,2010-04-30,13.75,13.56,201002-201005,
2356,2010-02-01,2010-04-30,7.21,7.37,201002-201005,
2357,2010-02-01,2010-04-30,18.86,19.11,201002-201005,
2360,2010-02-01,2010-04-30,36.44,38.6,201002-201005,
2362,2010-02-01,2010-04-30,29.71,37.34,201002-201005,
2363,2010-02-01,2010-04-30,25.14,23.23,201002-201005,
2367,2010-02-01,2010-04-30,7.32,8.02,201002-201005,
2368,2010-02-01,2010-04-30,11.38,11.38,201002-201005,
2371,2010-02-01,2010-04-30,17.39,16.35,201002-201005,
2373,2010-02-01,2010-04-30,22.48,30.29,201002-201005,
2374,2010-02-01,2010-04-30,38.99,36.44,201002-201005,
2376,2010-02-01,2010-04-30,11.68,13.32,201002-201005,
2377,2010-02-01,2010-04-30,8.77,8.59,201002-201005,
