Stock_id,Start_Date,End_Date,Start_Price,End_Price,Return,combination,rank
2603,2016-05-03,2016-10-31,11.8,11.8,0.0,2016-05-03_2016-10-31,128
2412,2016-05-03,2016-10-31,110.5,108.0,-0.02262443438914027,2016-05-03_2016-10-31,145
2606,2016-05-03,2016-10-31,25.6,21.9,-0.1445312500000001,2016-05-03_2016-10-31,187
2610,2016-05-03,2016-10-31,10.55,9.55,-0.0947867298578199,2016-05-03_2016-10-31,179
2409,2016-05-03,2016-10-31,9.02,12.0,0.33037694013303776,2016-05-03_2016-10-31,20
2615,2016-05-03,2016-10-31,17.35,15.55,-0.10374639769452453,2016-05-03_2016-10-31,181
2618,2016-05-03,2016-10-31,15.75,15.2,-0.03492063492063496,2016-05-03_2016-10-31,154
2408,2016-05-03,2016-10-31,37.4,40.95,0.0949197860962568,2016-05-03_2016-10-31,79
2633,2016-05-03,2016-10-31,15.5,20.85,0.34516129032258075,2016-05-03_2016-10-31,19
2723,2016-05-03,2016-10-31,273.0,283.0,0.03663003663003663,2016-05-03_2016-10-31,105
2395,2016-05-03,2016-10-31,229.5,257.0,0.11982570806100218,2016-05-03_2016-10-31,69
2801,2016-05-03,2016-10-31,16.6,16.15,-0.02710843373493993,2016-05-03_2016-10-31,150
2809,2016-05-03,2016-10-31,22.35,25.85,0.1565995525727069,2016-05-03_2016-10-31,50
2812,2016-05-03,2016-10-31,9.09,8.99,-0.011001100110010962,2016-05-03_2016-10-31,137
1102,2016-05-03,2016-10-31,28.65,27.55,-0.03839441535776607,2016-05-03_2016-10-31,158
2892,2016-05-03,2016-10-31,16.25,16.55,0.018461538461538505,2016-05-03_2016-10-31,113
2354,2016-05-03,2016-10-31,66.8,91.6,0.3712574850299401,2016-05-03_2016-10-31,16
2325,2016-05-03,2016-10-31,46.5,47.75,0.026881720430107527,2016-05-03_2016-10-31,110
4915,2016-05-03,2016-10-31,37.0,50.0,0.35135135135135137,2016-05-03_2016-10-31,18
2324,2016-05-03,2016-10-31,18.65,18.8,0.008042895442359364,2016-05-03_2016-10-31,124
4938,2016-05-03,2016-10-31,67.0,85.0,0.26865671641791045,2016-05-03_2016-10-31,31
4943,2016-05-03,2016-10-31,43.16,71.44,0.6552363299351252,2016-05-03_2016-10-31,8
2317,2016-05-03,2016-10-31,75.6,85.3,0.12830687830687834,2016-05-03_2016-10-31,65
