stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2,avg_monthly_return,annualized_return
3481,2014-05-02,2015-04-30,7.96,12.11,201405-201505,0.5213567839195979,53.471110148968194,winner,12.0,2015-05-04,12.37,2016-01-30,7.7,-0.3775262732417138,-0.051309485297100776,-0.46851048578541077
3576,2014-05-02,2015-04-30,61.58,46.89,201405-201505,-0.238551477752517,15.18051138314927,loser,138.0,2015-05-04,46.29,2016-01-30,37.45,-0.19096997191618054,-0.02327152512507258,-0.2461478316851038
4938,2014-05-02,2015-04-30,23.24,48.14,201405-201505,1.0714285714285716,81.18837441657392,winner,2.0,2015-05-04,47.98,2016-01-30,42.42,-0.11588161734055848,-0.013591710269100665,-0.1514438982036378
5522,2014-05-02,2015-04-30,19.92,15.26,201405-201505,-0.2339357429718876,15.41309110021356,loser,136.0,2015-05-04,15.45,2016-01-30,15.43,-0.0012944983818769951,-0.00014391597295659864,-0.0017256253517541342
6116,2014-05-02,2015-04-30,7.22,4.8,201405-201505,-0.335180055401662,10.311547216430355,loser,144.0,2015-05-04,5.13,2016-01-30,3.28,-0.3606237816764133,-0.048481171380867494,-0.44918134790038855
6271,2014-05-02,2015-04-30,123.9,76.16,201405-201505,-0.3853107344632769,7.785540046061447,loser,147.0,2015-05-04,74.3,2016-01-30,57.41,-0.22732166890982505,-0.028248063440244553,-0.2909694019311275
9907,2014-05-02,2015-04-30,22.36,17.02,201405-201505,-0.238819320214669,15.16701521687764,loser,139.0,2015-05-04,16.42,2016-01-30,10.63,-0.3526187576126675,-0.047164805374217744,-0.43996717574364863
1262,2014-06-03,2015-05-29,169.85,121.29,201406-201506,-0.2858993229319987,18.765851799694584,loser,138.0,2015-06-01,118.73,2016-02-26,104.47,-0.1201044386422977,-0.014116312590327307,-0.1568435450199278
1476,2014-06-03,2015-05-29,220.46,332.6,201406-201506,0.5086637031661073,66.00722534622643,winner,10.0,2015-06-01,344.38,2016-02-26,317.24,-0.07880829316452752,-0.009079322166102743,-0.10367255867281755
1477,2014-06-03,2015-05-29,73.84,137.8,201406-201506,0.8661971830985916,87.26466135331852,winner,2.0,2015-06-01,141.97,2016-02-26,115.68,-0.1851799675987884,-0.022497298312416314,-0.23894578283033552
1789,2014-06-03,2015-05-29,53.52,32.02,201406-201506,-0.4017189835575485,11.879702215673326,loser,148.0,2015-06-01,32.37,2016-02-26,45.29,0.39913500154464016,0.03802215887654925,0.5648744328512258
2207,2014-06-03,2015-05-29,261.07,375.08,201406-201506,0.4367028000153215,61.72873289838841,winner,13.0,2015-06-01,372.05,2016-02-26,268.05,-0.2795323209246069,-0.03577277601514339,-0.35411876020475264
2354,2014-06-03,2015-05-29,44.59,73.93,201406-201506,0.6579950661583315,74.88583971615478,winner,6.0,2015-06-01,72.91,2016-02-26,46.57,-0.3612673158688794,-0.048587630870571163,-0.4499204248327173
2409,2014-06-03,2015-05-29,8.06,11.83,201406-201506,0.4677419354838709,63.57418926253855,winner,12.0,2015-06-01,11.35,2016-02-26,6.55,-0.42290748898678415,-0.05925544051952247,-0.5195362964648351
2448,2014-06-03,2015-05-29,64.93,46.48,201406-201506,-0.2841521638687819,18.869730524527725,loser,137.0,2015-06-01,45.44,2016-02-26,25.67,-0.43507922535211263,-0.06148101842965947,-0.5330001641006061
2498,2014-06-03,2015-05-29,147.35,101.18,201406-201506,-0.3133355955208686,17.134606499419007,loser,140.0,2015-06-01,96.27,2016-02-26,79.41,-0.17513244001246495,-0.021165296809525058,-0.22640741388948804
2542,2014-06-03,2015-05-29,12.21,20.86,201406-201506,0.7084357084357082,77.8848280222861,winner,4.0,2015-06-01,20.59,2016-02-26,12.4,-0.3977659057795046,-0.05478744402728164,-0.4914264322269726
2610,2014-06-03,2015-05-29,8.56,12.59,201406-201506,0.4707943925233643,63.75567551158488,winner,11.0,2015-06-01,12.04,2016-02-26,9.65,-0.19850498338870423,-0.024286499765347025,-0.2554947432021679
2615,2014-06-03,2015-05-29,6.77,14.06,201406-201506,1.0768094534711967,99.78678057023625,winner,1.0,2015-06-01,14.28,2016-02-26,9.57,-0.3298319327731092,-0.04349535995730658,-0.4135311175195344
2618,2014-06-03,2015-05-29,10.12,15.86,201406-201506,0.5671936758893281,69.48717119604073,winner,8.0,2015-06-01,15.17,2016-02-26,12.45,-0.17930125247198422,-0.021716196468214433,-0.2316159153293177
2723,2014-06-03,2015-05-29,137.2,94.36,201406-201506,-0.3122448979591836,17.19945478614446,loser,139.0,2015-06-01,94.06,2016-02-26,123.43,0.3122475015947268,0.030653925269081617,0.43666112239541843
2727,2014-06-03,2015-05-29,286.13,191.43,201406-201506,-0.3309684409184636,16.08623172138953,loser,143.0,2015-06-01,186.73,2016-02-26,92.36,-0.5053821025009372,-0.07523798889072664,-0.608835197616351
2881,2014-06-03,2015-05-29,21.08,32.01,201406-201506,0.5185009487666035,66.59210656875722,winner,9.0,2015-06-01,31.76,2016-02-26,20.99,-0.3391057934508817,-0.04497517562316333,-0.42432691301669767
2883,2014-06-03,2015-05-29,5.49,7.69,201406-201506,0.4007285974499089,59.58985821430333,winner,14.0,2015-06-01,7.56,2016-02-26,5.26,-0.30423280423280424,-0.03950304077597866,-0.3834732401615498
3008,2014-06-03,2015-05-29,1462.53,2608.74,201406-201506,0.7837172570819059,82.36075207606572,winner,3.0,2015-06-01,2635.44,2016-02-26,1967.57,-0.2534187839601737,-0.03195075409251913,-0.322718189851102
3037,2014-06-03,2015-05-29,22.01,13.19,201406-201506,-0.4007269422989551,11.938684813820291,loser,147.0,2015-06-01,13.55,2016-02-26,13.76,0.015498154981549746,0.0017102703112648054,0.020717400169554256
3060,2014-06-03,2015-05-29,146.3,98.54,201406-201506,-0.3264524948735475,16.35473086748184,loser,142.0,2015-06-01,99.89,2016-02-26,48.01,-0.5193713084392833,-0.07818128417067094,-0.6235162314157842
3189,2014-06-03,2015-05-29,91.92,66.24,201406-201506,-0.2793733681462141,19.15385760622825,loser,135.0,2015-06-01,65.18,2016-02-26,58.39,-0.10417305922061991,-0.01214871574032328,-0.1364274572739621
3481,2014-06-03,2015-05-29,8.82,14.47,201406-201506,0.6405895691609977,73.85098211719,winner,7.0,2015-06-01,13.89,2016-02-26,7.72,-0.4442044636429086,-0.06317768228967124,-0.5430309997955758
3576,2014-06-03,2015-05-29,62.5,41.1,201406-201506,-0.3424,15.406559329078354,loser,145.0,2015-06-01,40.25,2016-02-26,41.04,0.01962732919254656,0.0021620223624512214,0.026255009014729547
3682,2014-06-03,2015-05-29,26.39,18.99,201406-201506,-0.2804092459264873,19.09226867299189,loser,136.0,2015-06-01,18.68,2016-02-26,17.23,-0.07762312633832973,-0.008937750074736184,-0.10213465907237929
4938,2014-06-03,2015-05-29,29.04,48.3,201406-201506,0.6632231404958677,75.19667901347454,winner,5.0,2015-06-01,47.67,2016-02-26,43.64,-0.08453954268932244,-0.009766231817303184,-0.11110024468567159
6116,2014-06-03,2015-05-29,7.6,5.02,201406-201506,-0.3394736842105263,15.580545750274563,loser,144.0,2015-06-01,4.86,2016-02-26,3.24,-0.3333333333333333,-0.044051921577024866,-0.417613023509134
6271,2014-06-03,2015-05-29,116.76,70.04,201406-201506,-0.4001370332305584,11.973758324345278,loser,146.0,2015-06-01,70.9,2016-02-26,66.97,-0.05543018335684071,-0.006316154881592095,-0.07321552166703504
9907,2014-06-03,2015-05-29,21.64,14.63,201406-201506,-0.3239371534195933,16.504282484308092,loser,141.0,2015-06-01,14.66,2016-02-26,11.13,-0.24079126875852655,-0.030145021812964523,-0.3074014275955209
1476,2014-07-01,2015-06-30,240.92,372.34,201407-201507,0.5454922795948862,58.939231925926094,winner,6.0,2015-07-01,369.4,2016-03-31,319.89,-0.13402815376285868,-0.015862060176825232,-0.17458625402523043
1477,2014-07-01,2015-06-30,77.68,138.58,201407-201507,0.7839855818743563,71.75774051240995,winner,1.0,2015-07-01,139.62,2016-03-31,107.61,-0.2292651482595617,-0.028519945213589804,-0.29334625705721973
1789,2014-07-01,2015-06-30,55.15,27.55,201407-201507,-0.5004533091568449,2.721877466646919,loser,146.0,2015-07-01,28.18,2016-03-31,40.69,0.4439318665720368,0.041663414919516306,0.6320329953188444
1802,2014-07-01,2015-06-30,21.51,12.68,201407-201507,-0.4105067410506741,7.556314511938137,loser,138.0,2015-07-01,12.72,2016-03-31,11.5,-0.09591194968553464,-0.011140647370263213,-0.12579294824084808
2049,2014-07-01,2015-06-30,243.7,141.92,201407-201507,-0.417644645055396,7.172667328140885,loser,139.0,2015-07-01,143.67,2016-03-31,104.52,-0.2724994779703487,-0.034731474297001186,-0.345698756427848
2354,2014-07-01,2015-06-30,47.55,76.67,201407-201507,0.6124079915878025,62.53580935830506,winner,5.0,2015-07-01,81.12,2016-03-31,51.33,-0.36723372781065095,-0.04957921662692122,-0.4567608057771243
2448,2014-07-01,2015-06-30,72.39,38.73,201407-201507,-0.4649813510153336,4.628419896436153,loser,144.0,2015-07-01,38.64,2016-03-31,22.48,-0.41821946169772256,-0.058409361235436275,-0.5143251826305099
2474,2014-07-01,2015-06-30,164.74,235.21,201407-201507,0.4277649629719557,52.61163863684343,winner,10.0,2015-07-01,238.87,2016-03-31,163.76,-0.3144388160924353,-0.04107881512244327,-0.39550187220885424
2498,2014-07-01,2015-06-30,135.56,70.73,201407-201507,-0.478238418412511,3.9158806735812464,loser,145.0,2015-07-01,73.87,2016-03-31,91.18,0.23433058074996618,0.0236678277475324,0.32406300643739505
2542,2014-07-01,2015-06-30,11.68,19.94,201407-201507,0.7071917808219179,67.63023676798235,winner,2.0,2015-07-01,20.19,2016-03-31,17.72,-0.12233779098563656,-0.014394668034337532,-0.1596958053372337
2610,2014-07-01,2015-06-30,8.43,11.03,201407-201507,0.3084223013048635,46.19722398162253,winner,11.0,2015-07-01,11.16,2016-03-31,9.65,-0.13530465949820786,-0.01602335378570452,-0.17620814884337677
2615,2014-07-01,2015-06-30,7.09,11.76,201407-201507,0.6586741889985895,65.02251922858548,winner,4.0,2015-07-01,11.69,2016-03-31,9.64,-0.17536355859709143,-0.021195773765097514,-0.22669640294663962
2618,2014-07-01,2015-06-30,9.65,14.68,201407-201507,0.521243523316062,57.63591276517489,winner,8.0,2015-07-01,14.57,2016-03-31,12.55,-0.13864104323953325,-0.0164459261481974,-0.1804435006632561
2823,2014-07-01,2015-06-30,14.74,18.81,201407-201507,0.2761194029850745,44.4610117881442,winner,14.0,2015-07-01,18.87,2016-03-31,16.42,-0.12983571807101216,-0.015333805352429675,-0.1692538508447532
2881,2014-07-01,2015-06-30,21.78,32.67,201407-201507,0.5,56.49411849493156,winner,9.0,2015-07-01,32.56,2016-03-31,21.81,-0.3301597051597052,-0.04354735089227402,-0.4139135342962339
2891,2014-07-01,2015-06-30,10.15,13.1,201407-201507,0.2906403940886699,45.24148422643336,winner,12.0,2015-07-01,13.02,2016-03-31,10.25,-0.2127496159754224,-0.026228663283137443,-0.27308464705792945
3008,2014-07-01,2015-06-30,1752.77,2688.83,201407-201507,0.5340461098718029,58.324024607836456,winner,7.0,2015-07-01,2807.07,2016-03-31,1936.53,-0.31012407955626337,-0.04041010675847301,-0.3904238284308519
3037,2014-07-01,2015-06-30,22.82,12.48,201407-201507,-0.453111305872042,5.266409618314947,loser,142.0,2015-07-01,12.88,2016-03-31,12.7,-0.01397515527950322,-0.00156252545194846,-0.018590003692526058
3060,2014-07-01,2015-06-30,150.29,81.07,201407-201507,-0.4605762193093353,4.86518637188108,loser,143.0,2015-07-01,80.18,2016-03-31,49.76,-0.3793963581940634,-0.051626590198919575,-0.470638409676433
3189,2014-07-01,2015-06-30,92.27,60.13,201407-201507,-0.3483255662728947,10.898420622207851,loser,135.0,2015-07-01,60.84,2016-03-31,54.22,-0.10880999342537812,-0.012718167692808424,-0.14238228388369456
3576,2014-07-01,2015-06-30,64.78,40.76,201407-201507,-0.3707934547699907,9.690819323272006,loser,136.0,2015-07-01,42.04,2016-03-31,36.11,-0.14105613701236916,-0.01675272050558707,-0.18350591774266523
3673,2014-07-01,2015-06-30,251.28,155.92,201407-201507,-0.3794969754855142,9.223023565662665,loser,137.0,2015-07-01,162.9,2016-03-31,61.46,-0.6227133210558624,-0.1026466326722526,-0.7273773329549744
4938,2014-07-01,2015-06-30,28.13,47.61,201407-201507,0.6924991112691078,66.84053697758586,winner,3.0,2015-07-01,47.93,2016-03-31,41.49,-0.13436261214270806,-0.01590430041269153,-0.17501128519810227
6116,2014-07-01,2015-06-30,8.52,4.14,201407-201507,-0.5140845070422535,1.9892295244694185,loser,147.0,2015-07-01,4.19,2016-03-31,3.3,-0.21241050119331753,-0.02618206550738067,-0.27266711714642944
6239,2014-07-01,2015-06-30,30.52,39.13,201407-201507,0.2821100917431193,44.78299858840227,winner,13.0,2015-07-01,38.9,2016-03-31,45.34,0.1655526992287919,0.01716740529338856,0.22661767755568163
6271,2014-07-01,2015-06-30,119.39,67.41,201407-201507,-0.435379847558422,6.21943785211279,loser,140.0,2015-07-01,69.11,2016-03-31,75.87,0.09781507741282022,0.010423046673956993,0.13250185347425814
6282,2014-07-01,2015-06-30,25.85,14.49,201407-201507,-0.439458413926499,6.000223570160021,loser,141.0,2015-07-01,15.3,2016-03-31,17.62,0.1516339869281046,0.015810550564942183,0.2071260745524679
9907,2014-07-01,2015-06-30,20.78,13.57,201407-201507,-0.3469682386910491,10.971374097614763,loser,134.0,2015-07-01,13.5,2016-03-31,10.81,-0.19925925925925922,-0.024388568072265082,-0.2564287881072178
1476,2014-08-01,2015-07-31,227.83,347.53,201408-201508,0.5253917394548565,64.57308664522404,winner,5.0,2015-08-03,340.41,2016-04-29,278.34,-0.18233894421432992,-0.02211918974146787,-0.23540565005651037
1477,2014-08-01,2015-07-31,79.6,140.67,201408-201508,0.7672110552763819,77.15436061980932,winner,2.0,2015-08-03,140.41,2016-04-29,95.93,-0.3167865536642689,-0.041444246355797354,-0.3982604732131412
1590,2014-08-01,2015-07-31,221.4,122.34,201408-201508,-0.4474254742547425,13.959760529016071,loser,136.0,2015-08-03,115.59,2016-04-29,180.55,0.5619863309974912,0.05079909992644405,0.8123259349096896
1789,2014-08-01,2015-07-31,53.3,26.18,201408-201508,-0.5088180112570356,10.765655354263275,loser,141.0,2015-08-03,25.51,2016-04-29,34.83,0.36534692277538205,0.03520652745620123,0.5146909169995468
1802,2014-08-01,2015-07-31,22.45,12.16,201408-201508,-0.4583518930957683,13.391285390737728,loser,138.0,2015-08-03,12.12,2016-04-29,11.72,-0.03300330033003289,-0.003721966967343837,-0.0437605519836346
2103,2014-08-01,2015-07-31,29.36,14.42,201408-201508,-0.5088555858310627,10.7637004400799,loser,142.0,2015-08-03,14.74,2016-04-29,20.37,0.38195386702849393,0.0365980653049609,0.5393051674430953
2353,2014-08-01,2015-07-31,15.33,8.33,201408-201508,-0.45662100456621,13.481339333433985,loser,137.0,2015-08-03,8.42,2016-04-29,7.31,-0.13182897862232784,-0.015584677181263995,-0.1717901704108179
2354,2014-08-01,2015-07-31,47.62,65.72,201408-201508,0.380092398152037,57.01351343641247,winner,9.0,2015-08-03,63.67,2016-04-29,47.35,-0.25632165855190825,-0.032369699903570304,-0.3262271431624729
2408,2014-08-01,2015-07-31,48.32,22.31,201408-201508,-0.5382864238410596,9.23248513973271,loser,143.0,2015-08-03,22.76,2016-04-29,25.34,0.11335676625659043,0.012002521889983075,0.15392913052857904
2448,2014-08-01,2015-07-31,63.85,26.54,201408-201508,-0.5843382928739232,6.836517806123195,loser,144.0,2015-08-03,26.25,2016-04-29,20.06,-0.23580952380952386,-0.029439969391400922,-0.301335256850247
2474,2014-08-01,2015-07-31,153.96,212.06,201408-201508,0.3773707456482202,56.8719124410668,winner,10.0,2015-08-03,204.75,2016-04-29,140.81,-0.3122832722832723,-0.04074427753530552,-0.3929663250222246
2498,2014-08-01,2015-07-31,133.6,68.08,201408-201508,-0.4904191616766467,11.72290298604014,loser,140.0,2015-08-03,67.78,2016-04-29,81.48,0.20212452050752439,0.020665118438223162,0.278201357456223
2542,2014-08-01,2015-07-31,12.12,17.61,201408-201508,0.452970297029703,60.80517420328335,winner,6.0,2015-08-03,17.58,2016-04-29,18.28,0.039817974971558756,0.004347832713597732,0.0534398933204252
2610,2014-08-01,2015-07-31,8.56,11.79,201408-201508,0.3773364485981306,56.87012804852466,winner,11.0,2015-08-03,11.58,2016-04-29,8.85,-0.2357512953367876,-0.02943175266238751,-0.30126427507481235
2615,2014-08-01,2015-07-31,7.28,13.75,201408-201508,0.8887362637362637,83.47702321298613,winner,1.0,2015-08-03,13.86,2016-04-29,9.23,-0.334054834054834,-0.04416692977850123,-0.41845325713548265
2618,2014-08-01,2015-07-31,9.98,15.9,201408-201508,0.5931863727454909,68.10027740142289,winner,3.0,2015-08-03,15.45,2016-04-29,11.16,-0.27766990291262134,-0.03549614484972419,-0.35189165348048224
2847,2014-08-01,2015-07-31,8.89,11.85,201408-201508,0.3329583802024746,54.56124451268375,winner,12.0,2015-08-03,11.85,,,,,
2881,2014-08-01,2015-07-31,23.5,30.64,201408-201508,0.3038297872340426,53.04575429063508,winner,13.0,2015-08-03,29.95,2016-04-29,20.88,-0.3028380634390651,-0.03928929554866134,-0.3818248301917103
3008,2014-08-01,2015-07-31,1752.77,2444.74,201408-201508,0.3947865378800412,57.778013977284495,winner,7.0,2015-08-03,2231.16,2016-04-29,1761.89,-0.21032557055522677,-0.025895966378133184,-0.2700987617937649
3060,2014-08-01,2015-07-31,158.11,59.21,201408-201508,-0.6255138827398646,4.694251480504664,loser,147.0,2015-08-03,59.21,2016-04-29,46.34,-0.2173619321060631,-0.026864219877204776,-0.27875753141626014
3189,2014-08-01,2015-07-31,84.67,44.07,201408-201508,-0.4795086807606,12.290548912640055,loser,139.0,2015-08-03,42.01,2016-04-29,47.4,0.12830278505117831,0.013503081194510713,0.174629436533992
3474,2014-08-01,2015-07-31,51.5,19.05,201408-201508,-0.6300970873786408,4.455798431185019,loser,148.0,2015-08-03,19.15,2016-04-29,29.3,0.5300261096605746,0.04838812614422339,0.7630520041767703
