combination,remark,count,mean_return2
201407-201504,winner,130,-0.012074625762729944
201407-201504,winner - loser,-,0.1130162261330365
201408-201505,loser,127,-0.16592339844300655
201408-201505,winner,126,0.02723071943284323
201408-201505,winner - loser,-,0.19315411787584977
201409-201506,loser,129,-0.10616670669226974
201409-201506,winner,126,-0.03635208779053006
201409-201506,winner - loser,-,0.06981461890173968
201410-201507,loser,125,0.016937893995045274
201410-201507,winner,123,-0.023826887155796273
201410-201507,winner - loser,-,-0.04076478115084155
201411-201508,loser,124,0.278788899611913
201411-201508,winner,124,0.19445137536689747
201411-201508,winner - loser,-,-0.08433752424501553
201412-201509,loser,129,0.3717605744250767
201412-201509,winner,127,0.22915598063124845
201412-201509,winner - loser,-,-0.14260459379382825
201501-201510,loser,132,0.2477167492637922
201501-201510,winner,129,0.15297522350924558
201501-201510,winner - loser,-,-0.09474152575454661
201502-201511,loser,131,0.11675748951713169
201502-201511,winner,131,0.07490243319647216
201502-201511,winner - loser,-,-0.04185505632065953
201503-201512,loser,132,0.10103504758904543
201503-201512,winner,133,0.010015059790730923
201503-201512,winner - loser,-,-0.09101998779831451
201504-201601,loser,131,0.17228472908705322
201504-201601,winner,134,0.06219907225416671
201504-201601,winner - loser,-,-0.11008565683288651
201505-201602,loser,131,0.14568768248661157
201505-201602,winner,130,0.06601508425001745
201505-201602,winner - loser,-,-0.07967259823659412
201506-201603,loser,126,0.11660947474277641
201506-201603,winner,128,0.0599388902440951
201506-201603,winner - loser,-,-0.056670584498681315
201507-201604,loser,123,0.10998548268603604
201507-201604,winner,123,0.0251604954889742
201507-201604,winner - loser,-,-0.08482498719706184
201508-201605,loser,113,0.29788299214678593
201508-201605,winner,115,0.11736947947572117
201508-201605,winner - loser,-,-0.18051351267106475
201509-201606,loser,113,0.1422325460809375
201509-201606,winner,117,0.051613735560238516
201509-201606,winner - loser,-,-0.09061881052069898
201510-201607,loser,118,0.10359369412970582
201510-201607,winner,122,0.0867225129458633
201510-201607,winner - loser,-,-0.01687118118384251
201511-201608,loser,118,0.03196830223362749
201511-201608,winner,121,0.1142848153975169
201511-201608,winner - loser,-,0.08231651316388941
201512-201609,loser,117,0.05038760550018951
201512-201609,winner,120,0.17427566570294936
201512-201609,winner - loser,-,0.12388806020275986
201601-201610,loser,116,0.044982168324908575
201601-201610,winner,118,0.1691460141426515
201601-201610,winner - loser,-,0.12416384581774294
201602-201611,loser,119,0.10020640063699514
201602-201611,winner,121,0.28895361686425947
201602-201611,winner - loser,-,0.18874721622726431
201603-201612,loser,125,0.09662856375035872
201603-201612,winner,127,0.28947712973736517
201603-201612,winner - loser,-,0.19284856598700645
201604-201701,loser,123,0.009366523344378704
201604-201701,winner,126,0.233813271765314
201604-201701,winner - loser,-,0.2244467484209353
201605-201702,loser,121,0.05902257386321163
201605-201702,winner,123,0.30537039204940375
201605-201702,winner - loser,-,0.2463478181861921
201606-201703,loser,124,-0.005549252269898537
201606-201703,winner,125,0.16382970887277482
201606-201703,winner - loser,-,0.16937896114267334
201607-201704,loser,129,-0.004491523120434426
201607-201704,winner,130,0.2845890524898031
201607-201704,winner - loser,-,0.28908057561023753
201608-201705,loser,132,0.02489180218586713
201608-201705,winner,131,0.08537956218860866
201608-201705,winner - loser,-,0.06048776000274153
201609-201706,loser,132,0.053017555840245534
