"編號","證券代號","證券名稱","累計次數","注意交易資訊","日期","收盤價","本益比",
"851","2024","志聯","18","最近六個營業日累積收盤價漲幅達27.03%。且03月03日之成交量為最近六十個營業日日平均成交量之5.07倍﹝第三款﹞。且03月03日凱基證券商買進之比率為56.04%﹝第五款﹞。","111.03.03","24.35     ","16.56     ",
"851","2032","新鋼","18",="03月02日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率65.57%，且03月02日當日沖銷成交量占該日總成交量比率73.26%﹝第十三款﹞","111.03.03","31.20     ","22.13     ",
"851","2033","佳大","18","最近六個營業日累積收盤價漲幅達26.99%。且03月03日之成交量為最近六十個營業日日平均成交量之18.27 倍﹝第三款﹞。且03月03日之週轉率為15.53%﹝第四款﹞。","111.03.03","22.20     ","85.38     ",
"851","2358","廷鑫","18",="03月02日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率65.43%，且03月02日當日沖銷成交量占該日總成交量比率72.02%﹝第十三款﹞","111.03.03","26.25     ","38.04     ",
"851","2430","燦坤","18","最近六個營業日累積收盤價漲幅達25.35%。且03月03日之成交量為最近六十個營業日日平均成交量之13.06 倍﹝第三款﹞。","111.03.03","46.25     ","11.77     ",
"851","2613","中櫃","18","最近六個營業日累積收盤價漲幅達39.33%﹝第一款﹞。且03月03日之成交量為最近六十個營業日日平均成交量之13.98 倍﹝第三款﹞。且03月03日之週轉率為15.49%﹝第四款﹞。","111.03.03","38.55     ","23.65     ",
"851","2867","三商壽","18",="03月02日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率16.91%，且03月02日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為8.75倍﹝第十二款﹞","111.03.03","8.70      ","7.50      ",
"851","2936","客思達-KY","18","最近六個營業日累積收盤價漲幅達34.68%﹝第一款﹞。","111.03.03","36.60     ","10.67     ",
"851","3006","晶豪科","18","最近六個營業日之累積週轉率為56.23%。且03月03日之週轉率為30.58%﹝第十款﹞。","111.03.03","171.50    ","9.40      ",
"851","3035","智原","18","最近六個營業日累積收盤價漲幅達30.03%。且六個營業日起迄兩個營業日收盤價價差達67.00 元﹝第一款﹞。且03月03日之週轉率為32.69%﹝第四款﹞。03月02日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率80.67%，且03月02日當日沖銷成交量占該日總成交量比率85.67%﹝第十三款﹞","111.03.03","312.00    ","67.10     ",
"851","3673","TPK-KY","18",="03月02日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率19.38%，且03月02日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.26倍﹝第十二款﹞","111.03.03","38.15     ","13.02     ",
"851","5269","祥碩","18","六個營業日起迄兩個營業日收盤價價差達150.00元且當日收盤價為最近六個營業日收盤價最高者﹝第十一款﹞","111.03.03","1900.00   ","40.90     ",
"851","6205","詮欣","18","最近九十個營業日起迄兩個營業日之收盤價漲幅達219.06% ﹝第二款﹞。","111.03.03","95.40     ","53.30     ",
"851","6415","矽力-KY","18","六個營業日起迄兩個營業日收盤價價差達260.00元且當日收盤價為最近六個營業日收盤價最高者﹝第十一款﹞","111.03.03","3900.00   ","67.37     ",
"851","9103","美德醫療-DR","18","公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價90.34 % ﹝第八款﹞。","111.03.03","10.60     ","-----     ",
"852","1435","中福","10","最近六個營業日累積收盤價漲幅達33.92%﹝第一款﹞。","111.03.02","58.30     ","-----     ",
